Title,Category,Year,Subtitle,Questions,Answer
m2022_01,マンション管理士,2022,1,次に掲げる事項のうち、区分所有法の規定によれば、「共用部分」であるものはいくつあるか。 ア専有部分以外の建物の部分 イ専有部分に属しない建物の附属物 ウ専有部分のある建物の敷地 エ規約により共用部分と定められた附属の建物 １ 一つ ２ 二つ ３ 三つ ４ 四つ,3
m2022_02,マンション管理士,2022,2,区分所有建物の敷地に関する次の記述のうち、区分所有法及び不動産登記法（平成 16 年法律第 123 号）の規定によれば、正しいものはいくつあるか。 ア借地上の区分所有建物における敷地利用権の場合には、専有部分と敷地利用権の分離処分禁止の原則は適用されない。 イ敷地を専有部分の底地ごとに区画して別の筆とし、それぞれの区分所有者が当該区画について単独で所有権を有しているタウンハウス形式の区分所有建物の場合には、専有部分の登記簿の表題部に敷地権は表示されない。 ウ土地の共有者全員で、その全員が区分所有する建物を建てた場合には、規約に別段の定めがない限り、敷地の共有持分は各区分所有者の専有面積の割合となる。 エ区分所有法の敷地には、区分所有者が建物及び建物が所在する土地と一体として管理又は使用をする庭、通路その他の土地で規約に定めたものも含む。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,2
m2022_03,マンション管理士,2022,3,管理所有に関する次の記述のうち、区分所有法の規定によれば、正しいものはどれか。 １ 規約の別段の定めによっても、管理者は一部共用部分を所有することはできない。 ２ 規約の別段の定めによっても、共用部分の所有者を管理者以外の特定の区分所有者とすることはできない。 ３ 管理所有者は、その者が管理所有する共用部分を保存し、又は改良するため必要な範囲内において、他の区分所有者の専有部分又は自己の所有に属しない共用部分の使用を請求することができる。 ４ 管理所有者は、その者が管理所有する共用部分について、その形状又は効用の著しい変更を伴わないものであっても、変更をすることはできない。,3
m2022_04,マンション管理士,2022,4,甲マンションにおける管理者が区分所有者Ａである場合の管理者の立場等に関する次の記述のうち、区分所有法及び民法（明治 29 年法律第 89 号）の規定によれば、正しいものはどれか。ただし、規約に別段の定めはないものとする。 １ Ａは、集会の決議を経ることなく、共用部分の保存行為をするとともにその形状又は効用の著しい変更を伴わない変更をすることができる。 ２ Ａは、甲マンションの大規模修繕工事について、自己の利益を図る目的で請負契約を締結して工事代金を支払ったとしても、当該契約が集会の決議に基づき締結したものであれば、善良な管理者の注意義務違反を問われることはない。 ３ Ａは、規約又は集会の決議により、その職務に関し、区分所有者のために原告となることができるが、その場合には、遅滞なく、区分所有者にその旨を通知しなければならない。 ４ 甲マンションの敷地が、区分所有者の共有又は準共有に属しない場合、Ａは甲マンションの敷地に関して、これを保存し、集会の決議を実行し、並びに規約で定めた行為をする権限を有する。,正解なし
m2022_05,マンション管理士,2022,5,次に掲げる事項のうち、区分所有法の規定によれば、管理者の職務（区分所有者を代理するものも含む。）に当たるものはいくつあるか。 ア共用部分につき損害保険契約をした場合における、同契約に基づく保険金額の請求及び受領 イ共用部分について生じた不当利得による返還金の請求及び受領 ウ規約の保管 エ集会における毎年１回一定の時期に行う管理者の事務に関する報告 １一つ ２二つ ３三つ ４四つ,4
m2022_06,マンション管理士,2022,6,区分所有法に定める電磁的記録及び電磁的方法に関する次の記述のうち、同法の規定によれば、誤っているものはどれか。 １ 電磁的記録とは、電子的方式、磁気的方式その他人の知覚によっては認識することができない方式で作られる記録であって、電子計算機による情報処理の用に供されるものとして法務省令で定めるものをいう。 ２ 電磁的方法とは、電子情報処理組織を使用する方法その他の情報通信の技術を利用する方法であって法務省令で定めるものをいう。 ３ 集会の議事録を電磁的記録により作成するためには、規約による規定又は集会の決議が必要である。 ４ 規約により集会において決議すべきものとされた事項については、区分所有者全員の書面又は電磁的方法による合意があったときは、書面又は電磁的方法による決議があったものとみなす。,3
m2022_07,マンション管理士,2022,7,甲マンション 101 号室の所有者Ａが死亡し、Ａの相続人である妻Ｂと子Ｃは、遺産分割協議中である。この場合に関する次の記述のうち、区分所有法及び民法の規定並びに判例によれば、誤っているものはどれか。 １ ＢとＣが集会において議決権を行使すべき者一人を定めていないときは、集会を開催するに当たって、集会の招集者は、ＢとＣのいずれか一方に集会の招集通知をすれば足りる。 ２ Ｃが未成年の高校生であったとしても、ＢとＣが合意をすれば、Ｃを議決権を行使すべき者と定めることができる。 ３ ＢとＣが、Ｂを議決権行使者と定める旨の合意をし、管理組合に議決権行使者をＢとする旨の通知をしていない場合であっても、Ｂは議決権行使者の指定を受けたことを証明することにより、議決権を行使することができる。 ４ Ｃは甲マンション 101 号室に居住しておらず、Ｂが同号室に居住している場合で、ＢとＣが、Ｃを議決権行使者と定める合意をし、Ｃの住所を記載して書面で通知した場合であっても、規約に特別の定めがあるときは、集会の招集の通知は、建物内の見やすい場所に掲示してすることができる。,4
m2022_08,マンション管理士,2022,8,集会において次の事項を決議する場合、区分所有法の規定によれば、議案の要領の通知を要しないものはどれか。ただし、招集手続の省略について、区分所有者全員の同意を得ていないものとする。 １ 区分所有建物の一部の階段室をエレベーター室へ変更すること。 ２ 管理員室を廃止して、来客用の宿泊室に転用すること。 ３ 管理者を解任すること。 ４ 建物の価格の２分の１を超える部分が滅失したときに、滅失した共用部分を復旧すること。,3
m2022_09,マンション管理士,2022,9,マンションにおいて共同の利益に反する行為（この問いにおいて「義務違反行為」という。）を行う者に関する次の記述のうち、区分所有法の規定によれば、正しいものはいくつあるか。 ア 区分所有者及び議決権の過半数による集会の決議があれば、義務違反行為を行う区分所有者に対し、他の区分所有者の全員が訴えをもって当該義務違反行為の停止を請求することができる。 イ 区分所有者及び議決権の各３分の２以上の多数による集会の決議があれば、義務違反行為を行う区分所有者に対し、他の区分所有者の全員が訴えをもって当該区分所有者の専有部分の使用の禁止を請求することができる。 ウ 区分所有者及び議決権の各４分の３以上の多数による集会の決議があれば、義務違反行為を行う区分所有者に対し、他の区分所有者の全員が訴えをもって当該区分所有者の区分所有権及び敷地利用権の競売を請求することができる。 エ 義務違反行為を行う占有者に対し、当該占有者が占有する専有部分の区分所有者以外の区分所有者の全員が訴えをもって当該占有者が占有する専有部分の使用又は収益を目的とする契約の解除及びその専有部分の引渡しを請求する場合、あらかじめ集会において当該占有者に弁明の機会を与えなければならない。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,2と３
m2022_10,マンション管理士,2022,10,大規模な火災、震災その他の災害で政令で定めるもの（この問いにおいて「政令指定災害」という。）により、その全部又は一部が滅失（区分所有法第 61 条第１項本文に規定する場合（小規模滅失）を除く。）した場合の被災マンション法第３条の規定による敷地共有者等集会（この問いにおいて「敷地共有者等集会」という。）に関する次の記述のうち、被災マンション法及び民法の規定によれば、正しいものはどれか。 １ 敷地共有者等集会の構成員は、政令指定災害によって全部又は一部が滅失した建物の区分所有者及び区分所有者以外の敷地の共有者である。 ２ 政令指定災害により、区分所有建物の一部が滅失した後、区分所有者全員の同意によって区分所有建物の全部を取り壊したときにも、政令の施行の日から起算して３年が経過する日までの間は、敷地共有者等集会を開くことが認められる。 ３ 敷地共有者等集会においては、滅失した区分所有建物に係る建物の敷地若しくはその一部の土地又は当該建物の敷地の全部若しくは一部を含む土地の管理に係る規約を定めることができる。 ４ 敷地共有者等が所在不明となっている場合に、敷地共有者等集会の招集の通知をするためには、民法第 98 条に定める公示送達による方法（裁判所の掲示場に掲示し、かつ、その掲示があったことを官報に掲載する方法）によらなければならない。,2
m2022_11,マンション管理士,2022,11,一団地内にＡ棟及びＢ棟（いずれも専有部分のある建物）があり、団地の敷地はＡ棟及びＢ棟の各区分所有者の共有である場合に関する次の記述のうち、区分所有法の規定によれば、誤っているものはどれか。 １ Ａ棟の区分所有者は、Ａ棟の集会の決議があれば、Ａ棟の管理のための規約を定めることができる。 ２ 団地内の区分所有建物に係る管理事項について、一部のみを団地管理組合で行い、その余を各棟の管理組合で行うものと定めることができる。 ３ 団地管理組合において、Ａ棟及びＢ棟の管理又は使用について団地管理規約（区分所有法第 66 条において準用する同法第 30 条第１項の規約をいう。以下、この問いにおいて同じ。）が定められている場合であっても、Ａ棟の区分所有者の集会で、Ａ棟の管理組合における管理者を定めることができる。 ４ 団地管理規約に団地共用部分の定めを設けることにより、団地管理組合の管理者を団地共用部分の所有者と定めることができる。,4
